year,away_team,home_team,neutral_site?,away_pts,home_pts,Winner,A_2OW,A_SPMargin,A_SPRank,A_RecRank,A_RecPoints,A_OffSP,A_OffRushSP,A_OffPassSP,A_OffSDSP,A_OffPDSP,A_OffSuccRate,A_OffIsoPPP,A_DefSP,A_DefRushSP,A_DefPassSP,A_DefSDSP,A_DefPDSP,A_DefSuccRate,A_DefIsoPPP,H_2OW,H_SPMargin,H_SPRank,H_RecRank,H_RecPoints,H_OffSP,H_OffRushSP,H_OffPassSP,H_OffSDSP,H_OffPDSP,H_OffSuccRate,H_OffIsoPPP,H_DefSP,H_DefRushSP,H_DefPassSP,H_DefSDSP,H_DefPDSP,H_DefSuccRate,H_DefIsoPPP
2015,TCU,Minnesota,0,23,17,Away,11.4,19.8,7,39,191.44,38,124.5,114.8,117.1,124.1,112,128.1,19.6,133.3,113.2,119.8,124,124.6,121.3,7.7,7.6,35,63,167.01,30.5,111,103.7,106.9,106.2,108.9,106.6,23.9,109,104.2,108,102.1,106,109.3
2015,UTSA,Arizona,0,32,42,Home,4.5,-10.1,102,103,119.88,15.1,76.3,73.9,75.2,77.3,82.5,67.7,26.7,120,95.6,113.2,98.5,107.3,107.9,8,7.6,36,43,186.57,34.6,101.7,98.2,100.2,98.9,98.3,101.9,26.3,113.8,109.1,111.3,113.2,108.8,117.6
2015,North Carolina,South Carolina,1,13,17,Home,4.9,-0.4,71,28,214.05,35.4,109.5,115,109.6,113.8,114,108.9,35.2,89.2,87.3,94,76.9,94.4,84.4,6.5,7.2,40,20,230.49,36.2,122.7,124.2,117.2,135,120.2,125.6,29.6,84.6,97.6,89.1,98.5,89.2,92.3
2015,FIU,UCF,0,15,14,Away,4.7,-11,109,100,120.42,16.4,75.1,77.9,77.6,77.4,80.6,70.7,26.6,103.8,103.1,96.9,123.3,109.6,96.6,8.4,0.2,68,71,160.78,23.6,93.7,107.3,95.5,109.2,96.3,102.7,22.6,105.7,98.7,100.6,105.8,96,109.9
2015,Oklahoma State,Central Michigan,0,24,13,Away,6.6,-1.8,82,40,191.28,27,91.8,108.4,98.9,102.8,95.7,103.6,29.5,107.5,101.1,105.1,100.6,109.8,100.3,8.1,-6.1,91,97,123.63,25.2,95.8,108.2,102.1,100,105.1,98.7,30.6,114.2,89.3,103.6,90.2,103.3,95.4
2015,Western Kentucky,Vanderbilt,0,14,12,Away,7.6,1.1,61,111,115.65,40.2,110.3,132.6,126.3,123.7,115,137.1,38.5,95,76.6,89.5,81.2,90.9,82.3,2.8,-11.4,110,49,181.37,18.3,86.2,89.1,93.8,70.4,89,82.9,29,98,95.4,99.3,95.8,94.2,100.4
2015,Michigan,Utah,0,17,24,Home,5.6,5.8,48,37,194.82,25.1,101.8,92.5,102.8,82.8,106.9,89,19.5,127.5,107.2,114.9,113.3,109.3,124.5,7.2,8.5,33,45,183.38,29.9,98,98.5,97.1,98.9,98.8,96.5,23,105.7,120.8,116,111.3,111.7,121.1
2015,Ohio,Idaho,0,45,28,Away,4.7,-13,113,92,128.68,19.6,89.9,78.2,83.7,88.1,91.5,77.4,31.5,104.3,92.6,100.3,92,94.2,102.1,1.9,-14.4,117,121,98.54,25.6,100.9,90.6,96.7,93.1,99.7,89.9,39.4,85.1,78.6,80.9,89.4,93.2,74.2
2015,Duke,Tulane,0,37,7,Away,8.4,2.5,56,52,175.77,28.5,109.5,93.9,103.5,95.4,105,98.6,27.4,83.3,102.4,92.5,93.5,86.3,100.6,3.5,-8.5,98,91,128.9,18.9,88.8,79.7,88,76.8,82.8,83.5,25.8,100.1,101.6,102.6,97.2,98.7,103.4
2015,Colorado,Hawaii,0,20,28,Home,3.6,-1.7,80,69,162.04,32.3,99,104,104.2,97.5,103.8,99.4,35.2,90.1,97.3,91.3,107.4,99,90,2.7,-14.7,118,122,98.16,18.1,80.9,72.7,75,82.7,80.5,71.2,33.5,100.3,86.3,97.1,83.2,95.7,90.2
