year,away_team,home_team,d_Opponent_Punt_Attempts_per_Game,d_ Points_per_Game,d_ Opponent_Completion_Percentage,d_ Average_Team_Passer_Rating,d_ Sacks_per_Game,d_ Opponent_Time_of_Possession_Percentage_(Net_of_OT),d_ Field_Goals_Made_per_Game,d_ Opponent_Yards_per_Rush_Attempt,d_ Opponent_Fumbles_Not_Lost_per_Game,d_ Fourth_Down_Conversions_per_Game,d_ 2nd_Quarter_Points/Game,d_ Opp_Yards_per_Point,d_ Opponent_Offensive_Touchdowns_per_Game,d_ Penalty_Yards_per_Game,d_ Opponent_Yards_per_Completion,d_ Opponent_Fourth_Down_Conversion_Percentage,d_ Opponent_Fumble_Recovery_Percentage,d_ Opponent_Rushing_Yards_per_Game,d_ Penalties_per_Play,d_ Opponent_Passing_Play_Percentage,d_ Opponent_Points_per_Play,d_ Opponent_Average_Time_of_Possession_(Net_of_OT),d_ Third_Down_Conversions_per_Game,d_ Completion_Percentage,d_ 4th_Quarter_Time_of_Possession_Share_%,d_ Opponent_Fumbles_per_Game,d_ Field_Goal_Attempts_per_Game,d_ Opponent_Average_Team_Passer_Rating,d_ 3rd_Quarter_Time_of_Possession_Share_%,d_ 1st_Quarter_Time_of_Possession_Share_%,d_ Opponent_1st_Half_Points/Game,d_ Opponent_Takeaway_Fumble_Recovery_Percentage,d_ Red_Zone_Scoring_Percentage_(TDs_and_FGs),d_ QB_Sacked_per_Game,d_ Offensive_Point_Share_Percentage_(Estimated),d_ Sack_Percentage,d_ Opponent_Pass_Attempts_per_Game,d_ 2nd_Half_Points/Game,d_ Completions_per_Game,d_ Opponent_2nd_Half_Points/Game,d_ Yards_per_Game,d_ Opponent_Red_Zone_Scores_per_Game_(TDs_and_FGs),d_ Opp_1st_Quarter_Points/Game,d_ Opponent_Penalties_per_Play,d_ Opponent_Completions_per_Game,d_ Opponent_Points_per_Game,d_ Opponent_Penalty_First_Downs_per_Game,d_ Fourth_Downs_per_Game,d_ Punt_Attempts_per_Game,d_ Opponent_Points_per_Field_Goal_Attempt,d_ Plays_per_Game,d_ Opponent_Third_Down_Conversions_per_Game,d_ Opponent_Penalties_per_Game,d_ Passing_Play_Percentage,d_ Opponent_Gross_Punt_Yards_per_Game,d_ 1st_Quarter_Points/Game,d_ Giveaways_per_Game,d_ Fourth_Down_Conversion_Percentage,d_ Interceptions_Thrown_Percentage,d_ Opponent_Yards_per_Game,d_ Offensive_Points_per_Game_(Estimated),d_ Opp_4th_Quarter_Points/Game,d_ Opponent_Interceptions_Thrown_Percentage,d_ Opponent_Passing_First_Downs_per_Game,d_ Opponent_Field_Goal_Attempts_per_Game,d_ Red_Zone_Scoring_Attempts_per_Game,d_ Gross_Punt_Yards_per_Game,d_ 4th_Quarter_Points/Game,d_ Yards_per_Point,d_ Rushing_Attempts_per_Game,d_ Points_per_Play_Margin,d_ Rushing_Play_Percentage_,d_ Takeaway_Fumble_Recovery_Percentage,d_ Overtime_Points/Game,d_ Opponent_Rushing_Attempts_per_Game,d_ Yards_per_Rush_Attempt,d_ Fumbles_Lost_per_Game,d_ Opponent_Red_Zone_Scoring_Percentage_(TDs_and_FGs),d_ Passing_Yards_per_Game,d_ Yards_per_Pass_Attempt,d_ Opponent_Penalty_Yards_per_Penalty,d_ Red_Zone_Scores_per_Game_(TDs_and_FGs),d_ Offensive_Touchdowns_per_Game,d_ Opp_2nd_Quarter_Points/Game,d_ Opponent_Fumbles_Lost_per_Game,d_ Fumbles_Not_Lost_per_Game,d_ Opponent_Fourth_Downs_per_Game,d_ Rushing_Yards_per_Game,d_ Opponent_Third_Downs_per_Game,d_ Opponent_Passing_Yards_Percentage,d_ Opp_3rd_Quarter_Points/Game,d_ Opponent_Rushing_Yards_Percentage,d_ QB_Sacked_Percentage,d_ 2nd_Half_Time_of_Possession_Share_%,d_ Opponent_Rushing_First_Downs_per_Game,d_ Points_per_Play,d_ Penalty_First_Downs_per_Game,d_ Opponent_Plays_per_Game,d_ 3rd_Quarter_Points/Game,d_ 1st_Half_Points/Game,d_ Opponent_Red_Zone_Scoring_Attempts_per_Game,d_ 1st_Half_Time_of_Possession_Share_%,d_ Opponent_Passing_Yards_per_Game,d_ 2nd_Quarter_Time_of_Possession_Share_%,d_ Opponent_Fourth_Down_Conversions_per_Game,d_ Average_Time_of_Possession_(Excluding_OT),d_ Opponent_Third_Down_Conversion_Percentage,d_ Rushing_Yards_Percentage,d_ Yards_per_Completion,d_ Opponent_Yards_per_Play,d_ Opponent_Average_Scoring_Margin,d_ Average_Scoring_Margin,d_ Opponent_Penalty_Yards_per_Game,d_ Incompletions_per_Game,d_ Opponent_Yards_per_Pass_Attempt,d_ Fumbles_per_Game,d_ Opponent_Giveaway_Fumble_Recovery_Percentage,d_ Opponent_Punts_per_Play,d_ Yards_per_Play,d_ Opp_Overtime_Points/Game,d_ Field_Goal_Conversion_Percentage,d_ Third_Down_Conversion_Percentage,d_ Punts_per_Play,d_ Pass_Attempts_per_Game,d_ Passing_Yards_Percentage,d_ Opponent_Offensive_Points_per_Game_(Estimated),d_ Opponent_First_Downs_per_Game,d_ Fumble_Recovery_Percentage,d_ Penalty_Yards_per_Penalty,d_ Opponent_Rushing_Play_Percentage_,d_ Opponent_Punts_per_Offensive_Score,d_ Takeaways_per_Game,d_ Interceptions_Thrown_per_Game,d_ Time_of_Possession_Percentage_(Net_of_OT),d_ Giveaway_Fumble_Recovery_Percentage,d_ Punts_per_Offensive_Score,d_ Third_Downs_per_Game,d_ Penalties_per_Game,d_ Turnover_Margin_per_Game,d_ Interceptions_per_Game,d_ Yards_per_Point_Margin,d_ Opponent_Field_Goals_Made_per_Game,d_ Opponent_Turnover_Margin_per_Game,d_ Opponent_Incompletions_per_Game,d_2OW,d_SPMargin,d_SPRank,d_RecRank,d_RecPoints,d_OffSP,d_OffRushSP,d_OffPassSP,d_OffSDSP,d_OffPDSP,d_OffSuccRate,d_OffIsoPPP,d_DefSP,d_DefRushSP,d_DefPassSP,d_DefSDSP,d_DefPDSP,d_DefSuccRate,d_DefIsoPPP,Label
2015,TCU,Minnesota,-0.612903226,-0.440414508,0.742424242,-0.391120507,-0.441860465,0.11372549,-0.692307692,0.927272727,0.217391304,0.230769231,-0.168421053,-0.510791367,0.37037037,-0.380434783,-0.804878049,0.234439834,0.287817938,0.620176238,0,-0.227817746,0.371534196,0.064087062,-0.253731343,-0.633074935,-0.277936963,0.032258065,-0.655172414,0.227353464,-0.267605634,0.428571429,0.245421245,0.024834437,0.204724409,-0.24137931,0.295392954,-0.230769231,-0.385964912,-0.751879699,-1,0.336734694,-0.500194024,0.153846154,-0.103030303,-0.5,-0.038461538,0.228501229,0.538461538,-0.128205128,-0.12,-0.24137931,-0.590673575,0.290322581,-0.466666667,-0.89010989,-0.659417619,-0.5,-0.0625,0.88308977,0.582417582,0.062611807,-0.302325581,0.4,-0.333333333,-0.254545455,-0.481481481,-0.34375,0.096626644,-0.488372093,0.059360731,0.560371517,-0.320419693,0.89010989,-0.347457627,-0.043478261,0.022988506,-0.275362319,-0.130434783,0.234899329,-0.935627631,-0.214285714,0.018867925,-0.263157895,-0.307692308,0.352601156,-0.090909091,0.083333333,-0.542857143,0.051535381,-0.573033708,-0.854330709,0.096296296,0.854330709,0.453608247,-0.335135135,0.458064516,-0.330666667,-0.170731707,-0.519337017,-0.868131868,-0.300546448,0.037037037,0.173770492,-0.461567304,0.102040816,-0.481481481,-0.161162483,0.694736842,0.599493029,0.316062176,0.348837209,0.394219653,-0.394219653,-0.455197133,-0.608247423,-0.303030303,0.032258065,0.347457627,-0.2,-0.407407407,-0.136363636,-0.137697517,-0.05370844,0.166666667,-1,-0.599493029,0.307291667,0.04,-0.287817938,-0.148148148,0.227817746,-0.733333333,-0.5625,-0.037037037,-0.11372549,-0.024834437,0.074626866,-0.460674157,-0.256410256,-0.304347826,-0.666666667,-0.234042553,-0.5,0.304347826,-0.723684211,-0.376344086,-0.335071708,0.233480176,0.278969957,-0.267321348,-0.234714004,-0.202229299,-0.253731343,-0.188533627,-0.087452471,-0.120158888,-0.299334812,0.35483871,-0.782419495,-0.195856874,-0.478696742,-0.369175627,-0.652386781,-0.27257384,0
2015,UTSA,Arizona,0.225806452,0.820379965,0.643939394,0.361522199,0.534883721,0.568627451,-0.153846154,0.345454545,0.043478261,0.307692308,0.168421053,0.251798561,0.333333333,-0.114130435,-0.317073171,0.261410788,0.33601071,0.368580978,-0.333333333,0.151079137,-0.097966728,0.45949214,0.731343284,-0.059431525,0.438395415,0.032258065,-0.103448276,0.204262877,-0.840375587,-0.342857143,0.238095238,0.245033113,0.090551181,0,-0.311653117,0.299145299,0.374269006,0.84962406,0.285266458,0.06122449,0.812960807,0.230769231,-0.187878788,0.5,0.653846154,0.090909091,-0.128205128,0.282051282,-0.546666667,-0.24137931,0.849740933,-0.032258065,0.573333333,0.032967033,0.282712864,0.68627451,-0.3125,0.271398747,-0.142857143,0.501490757,0.774597496,0.093333333,0.153846154,0.709090909,-0.481481481,0.53125,-0.300171527,0.736434109,-0.461187215,0.3374613,0.425343019,-0.032967033,-0.105932203,-0.043478261,0.270114943,0.246376812,-0.304347826,0.284116331,0.498390691,0.261904762,0.018867925,0.50877193,0.743589744,0.410404624,0,-0.5,0.142857143,0.312683578,0.258426966,-0.102362205,0.066666667,0.102362205,0.020618557,-0.324324324,0.316129032,0.568,0.902439024,0.552486188,0.593406593,0.535519126,0.074074074,-0.593442623,0.400824897,-0.394557823,-0.037037037,-0.593130779,-0.110526316,0.001267427,0.398963731,0.209302326,-0.512138728,0.512138728,0.369175627,0.453608247,-0.060606061,-0.612903226,0.105932203,0,0.518518519,-0.136363636,-0.051918736,0.611253197,-0.666666667,0.299578059,-0.001267427,0.244791667,0.33,-0.33601071,0.111111111,-0.151079137,-0.133333333,0.3125,-0.259259259,-0.568627451,-0.245033113,-0.462686567,0.303370787,-0.076923077,0.434782609,0.166666667,0.539007092,-0.583333333,-0.434782609,0.039473684,0.397849462,0.444589309,-0.594713656,-0.442060086,0.283335851,0.830374753,0.417197452,0.274626866,0.587651599,0.413181242,0.255213505,0.524020695,0.138248848,-0.467362924,0.22787194,-0.230576441,0.155555556,-0.160342717,0.093670886,1
2015,North Carolina,South Carolina,0,0.240069085,0.257575758,0.073995772,-0.255813953,-0.490196078,0.461538462,0.2,-0.217391304,0,0.221052632,0.151079137,-0.444444444,-0.502717391,-0.658536585,0.209543568,-0.046854083,-0.022789426,-0.333333333,0.165467626,-0.268022181,-0.466747279,0.014925373,-0.162790698,0.633237822,-0.35483871,0.379310345,-0.367673179,0.145539906,0.585714286,-0.501831502,-0.15397351,0.196850394,-0.310344828,0.143631436,-0.316239316,0.040935673,-0.172932331,-0.21630094,0.010204082,0.190531626,-0.192307692,-0.503030303,0,0.134615385,-0.4004914,0.076923077,-0.076923077,-0.68,-0.172413793,-0.124352332,-0.548387097,-0.2,-0.164835165,-0.089568743,0.254901961,0,0.292275574,0.274725275,-0.376863447,0.316636852,0.333333333,0.128205128,-0.018181818,0.481481481,-0.15625,-0.542595769,-0.550387597,-0.105022831,0.003095975,0.281678773,0.164835165,-0.110169492,0.173913043,-0.25862069,0.014492754,-0.217391304,0.364653244,-0.026491706,0.095238095,0.433962264,-0.052631579,0.179487179,-0.445086705,-0.181818182,0.25,-0.085714286,0.021628838,-0.258426966,-0.090551181,-0.274074074,0.090551181,0.041237113,0.335135135,-0.04516129,0.208,0.024390244,-0.364640884,0.021978022,0.327868852,-0.37037037,0.37704918,-0.220847394,0.306122449,-0.185185185,0.418758256,-0.326315789,0.064638783,0.32642487,-0.11627907,-0.354913295,0.354913295,-0.077658303,-0.010309278,-0.484848485,0.161290323,0.110169492,0.2,0.185185185,0.090909091,0.60496614,0.248081841,-0.5,-0.232067511,-0.064638783,-0.369791667,-0.31,0.046854083,0.074074074,-0.165467626,-0.2,0,0.037037037,0.490196078,0.15397351,-0.253731343,-0.460674157,-0.487179487,0.043478261,0.083333333,0.219858156,0.25,-0.043478261,0,0.193548387,0.181225554,-0.286343612,0.004291845,-0.020335398,0.09270217,0.222929936,0.049253731,0.203969129,0.408111534,0.064548163,0.26533629,-0.101382488,-0.43951262,0.167608286,-0.305764411,0.254480287,-0.324357405,0.063291139,1
2015,FIU,UCF,0.451612903,0.357512953,0.060606061,0.224806202,0.162790698,0.043137255,0.230769231,-0.236363636,0.130434783,0.692307692,0.189473684,0.208633094,-0.333333333,-0.105978261,-0.707317073,-0.304979253,0.756358768,-0.216651474,-0.333333333,0.410071942,-0.426987061,-0.022974607,0.552238806,0.188630491,-0.020057307,-0.483870968,0.24137931,-0.291296625,-0.333333333,0.714285714,-0.575091575,0.418874172,-0.066929134,-0.517241379,0.907859079,-0.05982906,0.315789474,0.082706767,0.260188088,0.142857143,0.436942181,-0.038461538,-0.745454545,1,0.298076923,-0.41031941,0.282051282,0.692307692,-0.866666667,0.24137931,0.316062176,0.064516129,0.706666667,0.095238095,0.366015481,0.284313725,0.3125,0.64091858,0.164835165,-0.467501491,0.520572451,0.08,0.205128205,-0.145454545,-0.185185185,0.59375,-0.736992567,-0.03875969,-0.03196347,-0.046439628,0.360774818,-0.095238095,-0.586864407,0.217391304,-0.281609195,-0.072463768,0.130434783,0.154362416,0.344392176,0.166666667,0.358490566,0.50877193,0.435897436,-0.317919075,-0.727272727,-0.416666667,0.085714286,-0.039252336,0.258426966,0.275590551,0.2,-0.275590551,-0.381443299,-0.248648649,0.006451613,0.218666667,0.804878049,-0.077348066,0.021978022,0.327868852,-0.185185185,0.180327869,-0.094863142,-0.285714286,-0.407407407,-0.066050198,-0.021052632,-0.209125475,0.233160622,-0.488372093,-0.438150289,0.438150289,0.608124253,0.216494845,-0.575757576,-0.161290323,0.586864407,0.4,0.296296296,-0.136363636,0.094808126,0.514066496,-0.833333333,0.185654008,0.209125475,-0.307291667,-0.3,-0.756358768,0.296296296,-0.410071942,0.133333333,-0.1875,0.111111111,-0.043137255,-0.418874172,-0.373134328,0.101123596,-0.179487179,-0.347826087,0.333333333,0.191489362,0,0.347826087,0.394736842,0.419354839,0.275097784,-0.374449339,-0.175965665,0.12421816,0.345167653,0.308917197,0.350746269,0.43109151,0.542458809,0.253227408,0.49150037,-0.02764977,-0.326370757,-0.109227872,-0.090225564,-0.30609319,-0.52998776,0.15443038,0
2015,Oklahoma State,Central Michigan,-0.35483871,0.250431779,-0.037878788,0.371388302,-0.209302326,-0.411764706,-0.769230769,0.054545455,-0.130434783,0.076923077,-0.347368421,0.050359712,-0.148148148,-0.274456522,-0.097560976,0.692946058,-0.13253012,-0.04284412,0,0.079136691,-0.146025878,-0.419588875,0.194029851,0.426356589,0.650429799,0.096774194,-0.931034483,-0.010657194,0.408450704,0.228571429,-0.098901099,0.221854305,-0.007874016,-0.482758621,0.398373984,-0.196581197,-0.169590643,0.120300752,0.047021944,-0.316326531,0.300737291,-0.038461538,-0.806060606,-0.5,-0.182692308,-0.316953317,0.179487179,-0.025641026,-0.813333333,-0.103448276,-0.088082902,-0.322580645,-0.466666667,-0.157509158,-0.430888316,0.509803922,0.25,0.292275574,-0.010989011,-0.408467501,0.366726297,-0.186666667,0.076923077,-0.109090909,-0.259259259,0.3125,-0.830760435,-0.19379845,-0.02283105,0.003095975,0.233252623,0.157509158,0.508474576,-0.130434783,-0.247126437,0.15942029,0.47826087,-0.252796421,0.012626888,0.119047619,-0.20754717,0.298245614,0.41025641,0.479768786,0.363636364,0.333333333,0.2,0.131108144,-0.370786517,0.011811024,-0.185185185,-0.011811024,-0.103092784,0.491891892,-0.070967742,0.208,-0.073170732,-0.546961326,0.186813187,0.180327869,-0.074074074,0.042622951,-0.235845519,0.115646259,0.185185185,0.367239102,-0.021052632,0.133079848,0.077720207,-0.069767442,-0.322543353,0.322543353,-0.543608124,-0.340206186,-0.212121212,0.677419355,-0.508474576,0,0.333333333,-0.136363636,0.322799097,0.677749361,-0.666666667,-0.181434599,-0.133079848,-0.171875,-0.37,0.13253012,-0.074074074,-0.079136691,-0.266666667,0.25,-0.259259259,0.411764706,-0.221854305,-0.253731343,-0.752808989,-0.205128205,0.043478261,-0.083333333,0.113475177,-0.25,-0.043478261,-0.026315789,0.182795699,-0.129074316,0.066079295,0.56223176,-0.528508838,-0.009861933,0.076433121,-0.091044776,0.106945976,0.103929024,0.128103277,-0.053954176,0.207373272,-0.242819843,-0.248587571,-0.220551378,-0.204301075,-0.356181151,-0.152742616,0
2015,Western Kentucky,Vanderbilt,0.483870968,-0.73402418,0.03030303,-0.898520085,-0.023255814,0.043137255,-0.692307692,-0.054545455,-0.130434783,0.384615385,-0.747368421,-0.151079137,-0.444444444,-0.244565217,-0.487804878,0.093360996,0.40562249,-0.045274992,0,-0.083932854,-0.164510166,0.018137848,-0.910447761,-1,-0.157593123,-0.35483871,-0.724137931,-0.236234458,-0.051643192,0.019047619,0.128205128,0.324503311,-0.492125984,-0.068965517,-0.463414634,0.042735043,-0.198830409,-0.578947368,-0.97492163,-0.387755102,-0.798603027,0.115384615,-0.139393939,0,-0.192307692,-0.287469287,0.179487179,0.333333333,0.333333333,0.586206897,-0.626943005,-0.096774194,-0.226666667,-0.399267399,0.470696646,-0.852941176,0.6875,0.465553236,1,-0.613595707,-0.763864043,-0.186666667,-0.230769231,-0.545454545,-0.185185185,-0.875,0.451114923,-0.426356589,0.360730594,0.003095975,-0.307506053,0.399267399,-0.165254237,-0.739130435,-0.017241379,-0.507246377,0.130434783,0.812080537,-1,-0.666666667,-0.396226415,-0.929824561,-0.769230769,0.190751445,-0.272727273,-0.166666667,-0.542857143,-0.289719626,0.191011236,-0.18503937,-0.303703704,0.18503937,0.360824742,-0.151351351,0.070967742,-0.696,0.073170732,-0.331491713,-0.67032967,-0.797814208,-0.296296296,0.075409836,-0.489313836,0.476190476,-0.62962963,-0.121532365,-0.152631579,0.244613435,0.098445596,-0.395348837,0.347976879,-0.347976879,-0.41218638,0.144329897,-0.484848485,0.096774194,0.165254237,0.6,-0.814814815,-0.954545455,-0.203160271,-0.99488491,0.5,-0.670886076,-0.244613435,-0.34375,-0.49,-0.40562249,-0.407407407,0.083932854,0,-0.375,0.555555556,-0.043137255,-0.324503311,0.432835821,-0.348314607,0.025641026,-0.782608696,-0.333333333,-0.290780142,0.333333333,0.782608696,-0.092105263,-0.494623656,-0.342894394,0.418502203,-0.459227468,0.277473939,-0.802761341,-0.371019108,-0.737313433,-0.680264609,-0.536121673,-0.574975174,-0.7827051,-0.281105991,-0.307223673,0.327683616,0.062656642,0.154121864,-0.11627907,0.235443038,0
2015,Michigan,Utah,0.35483871,0.506044905,0.068181818,0.291050035,0.906976744,0.37254902,0.384615385,0.345454545,0.217391304,0.153846154,-0.073684211,0.223021583,0.296296296,0.567934783,0.292682927,0.450207469,-0.078982597,0.353388028,0.333333333,0.160671463,-0.024029575,0.30471584,0.582089552,0.054263566,0.11747851,0.225806452,0.103448276,0.143872114,-0.417840376,-0.152380952,0.157509158,-0.278145695,0.059055118,-0.103448276,-0.262872629,0.606837607,0.30994152,0.330827068,-0.003134796,0.12244898,0.317035312,-0.038461538,-0.054545455,-0.5,0.326923077,0.144963145,0.743589744,-0.076923077,0.253333333,-0.172413793,0.554404145,-0.129032258,-0.2,-0.26007326,0.424253594,0.480392157,-0.625,0.532359081,-0.494505495,0.542039356,0.488372093,0.56,0.538461538,0.254545455,-0.333333333,0.25,0.420811893,0.11627907,-0.388127854,0.547987616,0.246166263,0.26007326,-0.203389831,0.913043478,0.247126437,-0.15942029,-0.217391304,0.208053691,0.043822728,0.023809524,0.320754717,0.298245614,0.384615385,0.167630058,0.272727273,0.416666667,0.2,0.119893191,0.123595506,-0.051181102,-0.392592593,0.051181102,0.144329897,-0.232432432,0.406451613,0.322666667,-0.073170732,0.513812155,0.274725275,0.295081967,-0.148148148,-0.383606557,0.470566179,-0.224489796,0.111111111,-0.424042272,-0.1,0.079847909,0.191709845,0.302325581,-0.276300578,0.276300578,-0.125448029,0,0.090909091,0.225806452,0.203389831,0.2,0.037037037,0.636363636,0.404063205,0.130434783,0,-0.080168776,-0.079847909,0.213541667,0.31,0.078982597,0.074074074,-0.160671463,-0.133333333,0.6875,-0.62962963,-0.37254902,0.278145695,-0.104477612,0.797752809,0.641025641,0.826086957,0.583333333,0.475177305,-0.416666667,-0.826086957,0.342105263,0.193548387,0.05345502,-0.145374449,0.141630901,-0.188820063,0.250493097,-0.047770701,0.001492537,-0.089305402,0.34347275,-0.219463754,0.129342203,0.31797235,-0.738903394,0.229755179,-0.155388471,-0.083870968,-0.138310894,-0.12742616,1
2015,Ohio,Idaho,-0.451612903,0.416234888,0.439393939,0.024665257,-0.209302326,0.207843137,-0.461538462,0.818181818,-0.304347826,1,0.305263158,-0.424460432,0.62962963,0.269021739,0.585365854,0.356846473,-0.255689424,0.885141294,0,-0.793764988,0.678373383,0.166868198,0.402985075,0.167958656,-0.547277937,-0.225806452,-0.586206897,0.534635879,-0.037558685,0.185714286,0.428571429,-0.024834437,-0.216535433,0.344827586,0.170731707,0.179487179,-0.742690058,0.165413534,0.31661442,0.765306122,0.338377959,0.269230769,0.248484848,0.5,-0.576923077,0.562653563,0.435897436,1,-0.6,0.103448276,0.626943005,0,0.146666667,0.095238095,-0.474382602,0.303921569,0.375,0.588726514,0.758241758,0.4490161,0.484794275,0.786666667,0.179487179,-0.527272727,-0.037037037,0.375,-0.36649514,-0.348837209,-0.333333333,0.108359133,-0.118644068,-0.095238095,0.211864407,-0.043478261,0.649425287,-0.246376812,-0.739130435,0.315436242,0.275068086,0.023809524,-0.056603774,0.298245614,0.487179487,0.329479769,0.090909091,-0.083333333,0.028571429,-0.100133511,-0.101123596,-0.881889764,0.318518519,0.881889764,0.319587629,-0.335135135,0.470967742,0.224,0.268292683,-0.220994475,0.362637363,0.393442623,0.148148148,0.003278689,-0.30183727,0.102040816,-0.037037037,-0.272126816,0.168421053,-0.17617237,0.119170984,0.674418605,-0.019653179,0.019653179,0.008363202,0.226804124,0.545454545,-0.548387097,-0.211864407,-0.4,0,-0.136363636,0.058690745,0.237851662,-0.666666667,0.227848101,0.17617237,0.671875,-0.11,0.255689424,0.259259259,0.793764988,-0.666666667,-0.0625,0.851851852,-0.207843137,0.024834437,-0.253731343,0.280898876,0.230769231,-0.260869565,-0.25,0.113475177,0.083333333,0.260869565,-0.776315789,-0.279569892,-0.05345502,0.022026432,0.321888412,-0.301828071,0.297830375,0.187898089,0.097014925,0.323042999,0.20278834,0.104270109,0.203252033,0.520737327,-0.693646649,-0.290018832,-0.669172932,-0.092473118,-0.221542228,-0.54092827,0
2015,Duke,Tulane,-0.064516129,-0.350604491,0.287878788,-0.190979563,-0.209302326,0.035294118,-0.769230769,0.2,-0.47826087,-0.153846154,-0.442105263,-0.611510791,0.148148148,0.652173913,0.243902439,0.526970954,0.09772423,0.007596475,0.666666667,0.122302158,0.441774492,-0.026602177,-0.462686567,-0.100775194,-0.249283668,-0.419354839,-0.448275862,0.245115453,-0.0657277,0.019047619,0.142857143,0.349337748,-0.578740157,0.206896552,0.512195122,-0.230769231,-0.058479532,-0.481203008,-0.059561129,0.632653061,0.018238262,-0.076923077,-0.127272727,-0.5,0.048076923,0.307125307,0.435897436,0.230769231,0.12,-0.172413793,0.051813472,0.064516129,-0.546666667,0.003663004,-0.118319204,-0.254901961,0.5,-0.144050104,0.648351648,-0.018485391,-0.212880143,0.68,0.538461538,0.109090909,0.111111111,-0.46875,0.000571755,-0.643410853,0.97260274,-0.108359133,-0.425343019,-0.003663004,0.281779661,-0.391304348,-0.264367816,-0.188405797,-0.217391304,-0.807606264,-0.089873731,-0.142857143,0.056603774,-0.578947368,-0.179487179,0.213872832,0.090909091,-0.416666667,-0.714285714,-0.147663551,-0.146067416,0.153543307,0.22962963,-0.153543307,0.381443299,-0.2,-0.148387097,-0.456,0.073170732,-0.464088398,-0.373626374,-0.306010929,0.185185185,0.147540984,0.193100862,0.632653061,-0.333333333,-0.05680317,0.252631579,-0.019011407,0.10880829,0.255813953,0.371098266,-0.371098266,-0.48864994,0.103092784,0.181818182,-0.419354839,-0.281779661,0.2,-0.111111111,-0.090909091,-0.665914221,-0.447570332,0.166666667,-0.075949367,0.019011407,0.177083333,-0.25,-0.09772423,0.518518519,-0.122302158,-0.4,0.4375,0.555555556,-0.035294118,-0.349337748,0.343283582,-0.168539326,0.538461538,0,0.5,-1,0,0,-0.118421053,-0.505376344,-0.303780965,0.356828194,0.407725322,-0.402930956,-0.317554241,-0.316878981,-0.3,-0.305402426,-0.096324461,-0.499503476,-0.204730229,0.082949309,-0.067014795,-0.041431262,0.070175439,-0.002150538,0.106487148,-0.02278481,0
2015,Colorado,Hawaii,0.258064516,-0.06044905,0,-0.309372798,0.11627907,0.749019608,-0.153846154,-0.272727273,0.130434783,0.230769231,-0.778947368,0.568345324,-0.37037037,-0.529891304,0.146341463,0.234439834,0.558232932,0.056213917,-0.333333333,-0.290167866,-0.704251386,0.657799274,-0.134328358,-0.803617571,-0.627507163,-0.032258065,-0.24137931,-0.152753108,-0.38028169,0.061904762,-0.157509158,0.36589404,-0.125984252,0.275862069,-0.013550136,0.145299145,-0.169590643,0.142857143,-0.799373041,-0.673469388,-0.124563446,-0.346153846,-0.236363636,-0.5,-0.163461538,-0.606879607,-0.487179487,-0.230769231,0.013333333,-1,-0.264248705,0.193548387,-0.226666667,-0.362637363,0.168448212,0.088235294,0.25,0.764091858,0.318681319,-0.182468694,-0.044722719,-0.026666667,0.717948718,-0.272727273,-0.555555556,0.03125,-0.020011435,0.302325581,0.123287671,0.20123839,0.307506053,0.362637363,-0.347457627,-0.52173913,0.448275862,-0.15942029,0.304347826,-0.431767338,-0.379549393,-0.071428571,-0.396226415,0.01754386,-0.102564103,-0.144508671,-0.181818182,0,0.257142857,-0.031241656,0.303370787,-0.051181102,-0.881481481,0.051181102,0.536082474,-0.562162162,0.393548387,-0.069333333,-0.512195122,0.165745856,-0.142857143,-0.284153005,-0.296296296,-0.613114754,-0.073865767,-1,0.037037037,-0.809775429,0.089473684,0.198986058,0.440414508,-0.302325581,-0.250867052,0.250867052,-0.448028674,0.164948454,0,0.290322581,0.347457627,0.4,-0.148148148,-0.863636364,0.162528217,-0.16112532,0.166666667,-0.548523207,-0.198986058,-0.515625,-0.22,-0.558232932,-0.555555556,0.290167866,0.2,0.4375,-0.037037037,-0.749019608,-0.36589404,0.074626866,0.033707865,-0.205128205,0.086956522,0.666666667,0.24822695,-1,-0.086956522,-0.065789474,-0.075268817,-0.355932203,0.321585903,0.527896996,-0.50572594,-0.499013807,-0.275477707,-0.555223881,-0.607497244,-0.048162231,-0.521350546,-0.398373984,0.078341014,-0.181897302,-0.233521657,-0.037593985,-0.402150538,-0.277845777,-0.066666667,1
