Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Florida State,14-0,13.1 (-0.9),98.0%,+25.6,1,42.9,4,17.3,1
Alabama,11-2,11.6 (0.6),96.3%,+22.2,2,39.5,9,17.3,7
Baylor,10-2,9.3 (-0.7),95.6%,+21.2,3,43.5,3,22.3,19
Stanford,11-3,10.8 (-0.2),95.6%,+21.2,4,38.0,15,16.8,9
Auburn,12-2,9.9 (-2.1),94.9%,+20.4,5,45.2,2,24.9,3
Missouri,12-2,10.7 (-1.3),93.3%,+18.7,6,40.4,7,21.7,18
Ohio State,12-2,11.7 (-0.3),93.0%,+18.4,7,42.8,5,24.4,6
Arizona State,10-4,9.1 (-0.9),92.8%,+18.2,8,38.6,13,20.5,15
Oklahoma State,10-3,11.8 (1.8),92.2%,+17.6,9,35.6,20,18.0,10
South Carolina,11-2,9.6 (-1.4),92.0%,+17.5,10,38.7,11,21.2,46
Georgia,8-5,7.8 (-0.2),90.7%,+16.4,11,40.2,8,23.7,42
Texas A&amp;M,9-4,9.1 (0.1),90.7%,+16.4,12,47.1,1,30.7,23
LSU,10-3,10.1 (0.1),89.9%,+15.9,13,38.5,14,22.7,37
USC,10-4,10.5 (0.5),89.7%,+15.7,14,33.4,32,17.7,38
UCLA,10-3,9.5 (-0.5),87.7%,+14.4,15,36.5,18,22.1,33
Clemson,11-2,9.9 (-1.1),87.5%,+14.3,16,38.7,12,24.4,13
Wisconsin,9-4,9.5 (0.5),87.2%,+14.1,17,34.4,25,20.3,8
Louisville,12-1,11.4 (-0.6),86.0%,+13.4,18,31.6,47,18.1,21
Mississippi State,7-6,7.3 (0.3),85.9%,+13.4,19,34.4,24,21.0,44
Virginia Tech,8-5,8.6 (0.6),85.2%,+13.0,20,28.1,71,15.1,64
Oregon,11-2,10.6 (-0.4),84.2%,+12.5,21,38.8,10,26.3,49
Michigan State,13-1,11.8 (-1.2),83.6%,+12.2,22,27.8,73,15.7,20
Washington,9-4,9.2 (0.2),83.4%,+12.1,23,34.2,26,22.1,47
Arizona,8-5,8.3 (0.3),81.8%,+11.3,24,35.3,22,24.0,71
North Carolina,7-6,8.7 (1.7),81.5%,+11.1,25,34.0,27,22.9,39
Utah,5-7,5.9 (0.9),80.6%,+10.8,26,32.4,38,21.6,83
Oklahoma,11-2,8.4 (-2.6),80.6%,+10.7,27,31.9,44,21.2,50
BYU,8-5,8.4 (0.4),80.5%,+10.7,28,30.5,51,19.8,22
Iowa,8-5,8.1 (0.1),80.1%,+10.5,29,28.6,66,18.1,35
Indiana,5-7,6.0 (1.0),79.6%,+10.3,30,42.6,6,32.3,97
Central Florida,12-1,10.2 (-1.8),79.5%,+10.3,31,35.3,23,25.0,26
Utah State,9-5,9.1 (0.1),79.1%,+10.1,32,27.1,79,17.0,16
