year,away_team,home_team,neutral_site?,away_pts,home_pts
2015,TCU,Minnesota,0,23,17
2015,Alcorn State,Georgia Tech,0,6,69
2015,UT San Antonio,Arizona,0,32,42
2015,North Carolina,South Carolina,1,13,17
2015,Florida Intl,UCF,0,15,14
2015,Oklahoma State,Central Michigan,0,24,13
2015,Elon,Wake Forest,0,3,41
2015,VMI,Ball State,0,36,48
2015,Villanova,Connecticut,0,15,20
2015,Western Kentucky,Vanderbilt,0,14,12
2015,Michigan,Utah,0,17,24
2015,Ohio,Idaho,0,45,28
2015,Southern Utah,Utah State,0,9,12
2015,Duke,Tulane,0,37,7
2015,UC Davis,Nevada,0,17,31
2015,New Hampshire,San Jose State,0,13,43
2015,Abilene Christian,Fresno State,0,13,34
2015,Colorado,Hawai'i,0,20,28
2015,Baylor,SMU,0,56,21
2015,Michigan State,Western Michigan,0,37,24
2015,Washington,Boise State,0,13,16
2015,Charlotte,Georgia State,0,23,20
2015,Rhode Island,Syracuse,0,0,47
2015,Fordham,Army,0,37,35
2015,Weber State,Oregon State,0,7,26
2015,Wisconsin,Alabama,1,17,35
2015,Louisville,Auburn,1,24,31
2015,Eastern Washington,Oregon,0,42,61
2015,Arkansas State,USC,0,6,55
2015,Louisiana Monroe,Georgia,0,14,51
2015,Texas State,Florida State,0,16,59
2015,Texas,Notre Dame,0,3,38
2015,Wofford,Clemson,0,10,49
2015,Virginia,UCLA,0,16,34
2015,Arizona State,Texas A&M,1,17,38
2015,Tennessee-Martin,Ole Miss,0,3,76
2015,UTEP,Arkansas,0,13,48
2015,Akron,Oklahoma,0,3,41
2015,Stanford,Northwestern,0,6,16
2015,Southeast Missouri State,Missouri,0,3,34
2015,Bowling Green,Tennessee,1,30,59
2015,Colgate,Navy,0,10,48
2015,Norfolk State,Rutgers,0,13,63
2015,Illinois State,Iowa,0,14,31
2015,Richmond,Maryland,0,21,50
2015,South Dakota State,Kansas,0,41,38
2015,Youngstown State,Pittsburgh,0,37,45
2015,Maine,Boston College,0,3,24
2015,Portland State,Washington State,0,24,17
2015,Kent State,Illinois,0,3,52
2015,Morgan State,Air Force,0,7,63
2015,Albany,Buffalo,0,14,51
2015,Presbyterian College,Miami (OH),0,7,26
2015,Howard,Appalachian State,0,0,49
2015,Sam Houston State,Texas Tech,0,45,59
2015,BYU,Nebraska,0,33,28
2015,Old Dominion,Eastern Michigan,0,38,34
2015,Penn State,Temple,0,10,27
2015,Florida Atlantic,Tulsa,0,44,47
2015,Southern Illinois,Indiana,0,47,48
2015,Savannah State,Colorado State,0,13,65
2015,North Dakota,Wyoming,0,24,13
2015,Wagner,Rice,0,16,56
2015,Grambling State,California,0,14,73
2015,Bethune-Cookman,Miami,0,0,45
2015,Troy,NC State,0,21,49
2015,Towson,East Carolina,0,20,28
2015,Gardner-Webb,South Alabama,0,23,33
2015,Florida A&M,South Florida,0,3,51
2015,Missouri State,Memphis,0,7,63
2015,Southern,Louisiana Tech,0,15,62
2015,Jackson State,Middle Tennessee,0,14,70
2015,Louisiana,Kentucky,0,33,40
2015,South Dakota,Kansas State,0,0,34
2015,Georgia Southern,West Virginia,0,0,44
2015,New Mexico State,Florida,0,13,61
2015,UNLV,Northern Illinois,0,30,38
